<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Russell 2000 Growth Ishares ETF,IWO,20260109,340.62,344.31,339.68,342.38,783200
Russell Midcap Growth Ishares ETF,IWP,20260109,141.15,141.9,140.44,140.97,1027800
Russell Midcap Ishares ETF,IWR,20260109,99.73,100.22,99.48,99.97,2607300
Russell Midcap Value Ishares ETF,IWS,20260109,146.25,147.14,146,146.73,362100
Russell 3000 Ishares ETF,IWV,20260109,392.92,395.47,392.31,394.77,128000
Russell Top 200 Value Ishares ETF,IWX,20260109,94.29,94.8473,94.23,94.74,127000
Russell Top 200 Growth Ishares ETF,IWY,20260109,276.46,278.42,275.42,277.84,210800
Global Energy Ishares ETF,IXC,20260109,42.75,43,42.72,42.86,340400
Global Financials Ishares ETF,IXG,20260109,123.1,123.1,122.63,122.66,16000
Global Healthcare Ishares ETF,IXJ,20260109,100.15,100.37,99.54,99.61,214900
Global Tech Ishares ETF,IXN,20260109,106.33,107.68,105.9817,107.42,451400
Global Telecom Ishares ETF,IXP,20260109,121.36,122.23,121.2,121.88,43600
US Consumer Services Ishares ETF,IYC,20260109,106.09,107.01,105.445,106.96,138800
US Energy Ishares ETF,IYE,20260109,49.56,49.63,49.25,49.39,1053600
US Financials Ishares ETF,IYF,20260109,131.98,132.4,131.53,131.56,385700
US Financial Services Ishares ETF,IYG,20260109,94.61,94.985,94.32,94.32,97000
US Healthcare Ishares ETF,IYH,20260109,66.77,67.02,66.295,66.32,521100
US Industrials Ishares ETF,IYJ,20260109,153.66,155.03,153.66,154.65,113200
US Consumer Goods Ishares ETF,IYK,20260109,66.63,67.255,66.58,67.2,229300
Mstar Multi-Asset Income Ishares ETF,IYLD,20260109,21.6656,21.7,21.6602,21.7,53400
US Basic Materials Ishares ETF,IYM,20260109,163.11,164.94,163.07,164.94,91100
US Real Estate Ishares ETF,IYR,20260109,94.67,95.33,94.67,94.74,5267200
Neos Real Estate High Income ETF,IYRI,20260109,48.96,49.14,48.9001,48.96,58200
Transportation Average Ishares ETF,IYT,20260109,78.41,78.59,77.36,77.99,588100
US Technology Ishares ETF,IYW,20260109,200.06,202.29,199.13,201.75,854500
DJ US Ishares ETF,IYY,20260109,168.28,169.22,168.14,168.958,53300
US Telecommunications Ishares ETF,IYZ,20260109,33.54,33.81,33.43,33.68,553100
Ark Israel Innovative Technology ETF,IZRL,20260109,31.63,31.7782,31.37,31.77,36700
Janus AAA Clo ETF,JAAA,20260109,50.65,50.66,50.63,50.64,5502000
Janus Henderson Asset-Backed Securities ETF,JABS,20260109,50.245,50.2628,50.16,50.2628,1700
JPM Active Developing Markets Equity ETF,JADE,20260109,65.96,65.96,65.7761,65.7761,1700
Innovator Equity Defined Protection ETF 6Mo Jan/,JAJL,20260109,29.13,29.195,29.1201,29.19,76700
Aptus January Buffer ETF,JANB,20260109,25.86,25.92,25.845,25.9099,24400
Innovator Premium Income 20 Barrier ETF Jan,JANH,20260109,24.7,24.71,24.67,24.71,142900
Innovator Premium Income 30 Barrier ETF Jan,JANJ,20260109,24.71,24.71,24.67,24.6902,4400
FT Vest U.S. Max Buffer ETF - Jan,JANM,20260109,33.0598,33.0598,33.0598,33.0598,0
PGIM S&P 500 Buffer 12 ETF - January,JANP,20260109,32.95,33.06,32.9499,33.055,19000
Allianzim U.S. Large Cap Buffer10 Jan ETF,JANT,20260109,41.58,41.74,41.5427,41.69,20000
Allianzim U.S. Equity Buffer15 Uncapped Jan ETF,JANU,20260109,28.42,28.54,28.37,28.52,169100
Allianzim U.S. Large Cap Buffer20 Jan ETF,JANW,20260109,37.1853,37.29,37.185,37.25,55400
Trueshares Structured Outcome [Jan] ETF,JANZ,20260109,38.45,38.63,38.45,38.5695,4000
JPM Active Value ETF,JAVA,20260109,74.2,74.53,74.065,74.44,213700
Janus B-BBB Clo ETF,JBBB,20260109,47.85,47.9,47.85,47.86,251700
JPM Active China ETF,JCHI,20260109,55.82,56.155,55.82,56.1502,2000
JPM Core Plus Bond ETF,JCPB,20260109,47.45,47.5216,47.3901,47.5,1317000
JPM Inflation Managed Bond ETF,JCPI,20260109,48.29,48.35,48.24,48.28,78200
JPM Dividend Leaders ETF,JDIV,20260109,54.9595,54.9595,54.9595,54.9595,400
Junior Gold Miners Bear -2X ETF Direxion,JDST,20260109,2.31,2.34,2.24,2.28,54181700
JH Disciplined Value Intl Select ETF,JDVI,20260109,36.04,36.4,35.98,36.026,6400
John Hancock Disciplined Value Select ETF,JDVL,20260109,28.1436,28.1436,28.1436,28.1436,0
DeFiance Drone and Modern Warfare ETF,JEDI,20260109,28.33,28.982,28.02,28.82,160200
JPM Activebuilders Emerging Markets Equity ETF,JEMA,20260109,51.11,51.2653,50.84,51.22,40400
Janus Emerging Markets Debt Hard Currency ETF,JEMB,20260109,53.4,53.5199,53.34,53.37,7600
JPM Equity Premium Income ETF,JEPI,20260109,58.1,58.32,58.1,58.25,4458800
Max Airlines -3X Inverse Leveraged ETN,JETD,20260109,4.19,4.25,4.07,4.07,16500
US Global Jets ETF,JETS,20260109,29.3,29.59,28.95,29.47,2860400
Max Airlines 3X Leveraged ETN,JETU,20260109,34.57,34.826,33.73,34.8185,4400
JPM Flexible Income ETF,JFLI,20260109,51.18,51.6,51.14,51.5097,7700
Jpmorgan Flexible Debt ETF,JFLX,20260109,50.44,50.47,50.367,50.43,70200
JPM Active Growth ETF,JGRO,20260109,93.02,93.5,92.61,93.32,536900
Jensen Quality Growth ETF,JGRW,20260109,27.38,27.55,27.38,27.498,2100
JH Fundamental All Cap Core ETF,JHAC,20260109,15.5844,15.5844,15.5844,15.5844,100
JH Corporate Bond ETF,JHCB,20260109,21.515,21.62,21.515,21.58,12100
John Hancock Core Plus Bond ETF,JHCP,20260109,25.43,25.49,25.43,25.465,6700
John Hancock Core Bond ETF,JHCR,20260109,25.4758,25.4758,25.4758,25.4758,100
JH U.S. High Dividend ETF,JHDV,20260109,40.6323,40.6323,40.6323,40.6323,100
JH Multifactor Emerging Markets ETF,JHEM,20260109,33.99,34.05,33.84,34.038,7200
JH High Yield ETF,JHHY,20260109,25.95,25.98,25.92,25.9405,8300
JH International High Dividend ETF,JHID,20260109,38.825,38.8299,38.74,38.8299,13300
John Hancock Global Senior Loan ETF,JHLN,20260109,24.91,24.92,24.89,24.9,3800
JH Mortgage-Backed Securities ETF,JHMB,20260109,22.36,22.36,22.2002,22.2765,25700
JH Developed Intl Multifactor ETF,JHMD,20260109,42.4,42.56,42.3001,42.52,94100
JH Largecap Multifactor ETF,JHML,20260109,81.46,81.9075,81.3599,81.805,20700
JH Midcap Multifactor ETF,JHMM,20260109,67.86,68.2599,67.655,68.15,199900
JH Dynamic Municipal Bond ETF,JHMU,20260109,26.33,26.34,26.29,26.3341,500
JH Preferred I ETF,JHPI,20260109,22.95,22.97,22.95,22.97,458500
JH Multifactor Small Cap ETF,JHSC,20260109,44.16,44.39,43.84,44.28,43200
JPM International Growth ETF,JIG,20260109,76.33,76.71,76.175,76.7,14000
Janus Henderson Income ETF,JIII,20260109,50.4992,50.64,50.4992,50.525,12000
JPM International Research Enhanced Equity ETF,JIRE,20260109,76.84,77.16,76.75,77.1,272500
Janus Sustainable Corporate Bond ETF,JLQD,20260109,42.04,42.1,42.04,42.078,1200
Janus Mortgage-Backed Securities ETF,JMBS,20260109,45.83,46.015,45.83,45.96,2266000
JPM Small & Mid Cap Enhanced Equity ETF,JMEE,20260109,67,67.427,66.7825,67.37,109500
JMG EXPLORATION,JMG,20260109,7,7.25,6.95,7.14,239000
JPM High Yield Municipal ETF,JMHI,20260109,50.5,50.5899,50.5,50.555,7800
U.S. Treasury Securities Money Market ETF,JMMF,20260109,100.08,100.09,100.0706,100.09,200
JPM U.S. Momentum Factor ETF,JMOM,20260109,69.66,70.18,69.66,70.08,55400
JPM Sustainable Municipal Income ETF,JMSI,20260109,50.65,50.69,50.55,50.6,45100
JPM Ultra-Short Municipal Income ETF,JMST,20260109,51.02,51.04,51.01,51.02,3116700
JPM Mortgage-Backed Securities ETF,JMTG,20260109,51.09,51.32,51.09,51.21,1796900
JPM Municipal ETF,JMUB,20260109,50.71,50.76,50.71,50.74,823900
Allianzim U.S. Equity Buffer15 Uncapped June ETF,JNEU,20260109,30.78,30.8589,30.78,30.8589,300
BBG High Yield Bond SPDR ETF,JNK,20260109,97.65,97.73,97.62,97.69,3106900
Junior Gold Miners Bull 2X ETF Direxion,JNUG,20260109,233,239.43,229.99,235.52,217700
General Employment Enterprises,JOB,20260109,0.2003,0.21,0.2003,0.2021,168600
Tradr 2X Long Joby Daily ETF,JOBX,20260109,24.67,26.38,23,24.45,169300
Virtus Terranova U.S. Quality Momentum ETF,JOET,20260109,43.19,43.34,43.07,43.15,72800
Atac Credit Rotation ETF,JOJO,20260109,15.6,15.6735,15.6,15.6735,10900
Jpmorgan Equity and Options Total Return ETF,JOYT,20260109,54.94,55.2199,54.88,55.2,11200
Matthews Japan Active ETF,JPAN,20260109,37.7051,37.7051,37.7051,37.7051,100
JPM Diversified Return Emerging Markets Equity E,JPEM,20260109,62.03,62.1599,61.93,62.095,21600
JPM Active High Yield ETF,JPHY,20260109,50.74,50.82,50.74,50.78,27300
JPM International Bond Opportunities ETF,JPIB,20260109,48.98,49.025,48.95,48.95,409500
JPM Income ETF,JPIE,20260109,46.34,46.38,46.34,46.34,1620900
JPM Diversified Return International Equity ETF,JPIN,20260109,69.59,69.74,69.51,69.72,19800
JPM Limited Duration Bond ETF,JPLD,20260109,52.35,52.41,52.33,52.33,364000
JPM USD Emerging Markets Sovereign Bond ETF,JPMB,20260109,40.27,40.37,40.26,40.341,50200
JPM Diversified Return U.S. Mid Cap Equity ETF,JPME,20260109,111.56,112.0502,111.41,111.79,5000
Yieldmax JPM Option Income Strategy ETF,JPMO,20260109,16.18,16.23,16.14,16.171,28200
JPM Realty Income ETF,JPRE,20260109,46.88,47.2436,46.88,47.01,11800
JPM Diversified Return U.S. Small Cap Equity ETF,JPSE,20260109,52.42,52.74,52.342,52.5829,15400
JPM Ultra-Short Income ETF,JPST,20260109,50.64,50.64,50.63,50.63,7666500
JPM Active Small Cap Value ETF,JPSV,20260109,60.2008,60.2008,60.2008,60.2008,100
JPM Diversified Return U.S. Equity ETF,JPUS,20260109,126.7,127.53,126.7,127.2224,4600
Jpx-Nikkei 400 Ishares ETF,JPXN,20260109,90.17,90.86,90.17,90.57,41300
JPM U.S. Quality Factor ETF,JQUA,20260109,64.22,64.5459,64.0448,64.44,639700
Janus U.S. Real Estate ETF,JRE,20260109,23.5976,23.5976,23.5976,23.5976,100
JPM Short Duration Core Plus ETF,JSCP,20260109,47.58,47.6399,47.56,47.59,265200
Janus Securitized Income ETF,JSI,20260109,52.39,52.39,52.2099,52.257,173500
Adasina Social Justice All Cap Global ETF,JSTC,20260109,20.67,20.78,20.67,20.7508,30400
Aptus Enhanced Yield ETF,JUCY,20260109,22.23,22.27,22.2001,22.24,24700
Aptus July Buffer ETF,JULB,20260109,25.83,25.8384,25.83,25.83,700
Innovator Premium Income 20 Barrier ETF Jul,JULH,20260109,24.96,24.9852,24.96,24.9852,1200
Innovator Premium Income 30 Barrier ETF Jul,JULJ,20260109,24.94,24.97,24.94,24.97,400
FT Vest U.S. Max Buffer ETF - Jul,JULM,20260109,33.68,33.71,33.68,33.71,3000
PGIM S&P 500 Buffer 12 ETF - July,JULP,20260109,31.03,31.07,31.03,31.0549,2100
Allianzim U.S. Large Cap Buffer10 Jul ETF,JULT,20260109,45.19,45.25,45.19,45.2493,1800
Allianzim U.S. Equity Buffer15 Uncapped Jul ETF,JULU,20260109,29.97,30.17,29.97,30.08,12600
Allianzim U.S. Large Cap Buffer20 Jul ETF,JULW,20260109,39.25,39.3046,39.25,39.29,13300
Trueshares Structured Outcome [Jul] ETF,JULZ,20260109,42.775,42.775,42.7407,42.7407,600
FT Vest U.S. Max Buffer ETF - Jun,JUNM,20260109,34.3594,34.3594,34.31,34.31,1000
PGIM S&P 500 Buffer 12 ETF - June,JUNP,20260109,30.69,30.74,30.69,30.7205,8600
Aim U.S. Large Cap Buffer10 Jun ETF,JUNT,20260109,36.49,36.5828,36.49,36.5828,100
Aim U.S. Large Cap Buffer20 Jun ETF,JUNW,20260109,33.49,33.5324,33.455,33.5324,3400
Trueshares Structured Outcome [Jun] ETF,JUNZ,20260109,33.1516,33.1516,33.1516,33.1516,100
JPM U.S. Research Enhanced Large Cap ETF,JUSA,20260109,62.72,62.72,62.6763,62.6763,1600
GS Just U.S. Large Cap Equity ETF,JUST,20260109,98.36,98.69,98.36,98.6637,2100
JPM U.S. Value Factor ETF,JVAL,20260109,50.7,50.951,50.465,50.91,31900
Global Utilities Ishares ETF,JXI,20260109,79.14,79.38,79.085,79.09,11900
Janus Henderson Transformational Growth ETF,JXX,20260109,28.54,28.67,28.32,28.5969,14400
,KAMO,20260109,25.13,25.13,25.11,25.1152,19900
Kairos Pharma Ltd,KAPA,20260109,0.97,0.97,0.8521,0.88,149200
Innovator U.S. Smallcap Power Buffer ETF Apr,KAPR,20260109,35.6,35.6,35.5,35.5449,6800
KS Electric Vehicles and Future Mobility ETF,KARS,20260109,32,32.15,32,32,20800
Innovator US Small Cap Power Buffer ETF August,KAUG,20260109,27.07,27.125,27.06,27.06,1600
KS Bosera MSCI China A ETF,KBA,20260109,31.63,31.7295,31.6,31.71,32200
S&P Bank ETF SPDR,KBE,20260109,63.8,64.105,63.13,63.25,1324700
Kraneshares 90% Kweb Defined ETF Jan 2026,KBUF,20260109,31.3613,31.3613,31.3613,31.3613,100
Kraneshares China Alpha Index ETF,KCAI,20260109,30.5802,30.5802,30.283,30.4851,1300
KS California Carbon Allowance ETF,KCCA,20260109,16.62,16.8547,16.42,16.49,54700
S&P Capital Markets ETF SPDR,KCE,20260109,156.73,157.503,155.69,156.67,28900
KS Sustainable Ultra Short Duration Index ETF,KCSH,20260109,25.1,25.1,25.095,25.095,700
Innovator U.S. Small Cap Power Buffer ETF Decemb,KDEC,20260109,26.2883,26.2883,26.21,26.21,700
Plus Korea Defense Industry Index ETF,KDEF,20260109,52.56,53.5999,52.51,53.48,180700
ETF Opp Kingsbarn Tactical Bond ETF,KDRN,20260109,23.2581,23.2581,23.2581,23.2581,100
Keeley Dividend ETF,KDVD,20260109,25.8993,26.03,25.8993,26.0159,1700
KS EM Consumer Technology Index ETF,KEMQ,20260109,26.14,26.27,26.0706,26.27,7800
KS MSCI Emerging Markets Ex China Index ETF,KEMX,20260109,38.75,38.85,38.54,38.794,10000
KS European Carbon Allowance ETF,KEUA,20260109,28.82,28.82,28.43,28.775,2200
Innovator U.S. Small Cap Power Buffer ETF Feb,KFEB,20260109,28.46,28.5449,28.46,28.5449,300
Kurv Gold Enhanced Income ETF,KGLD,20260109,31.62,31.7099,31.45,31.69,40200
KS MSCI China Environment Index ETF,KGRN,20260109,27.85,27.86,27.6201,27.7381,5700
Kensington Hedged Premium Income ETF,KHPI,20260109,25.83,26.2599,25.7301,25.82,302700
KS Ccbs China Corp High Yield Bond USD ETF,KHYB,20260109,24.69,24.7095,24.69,24.7,1400
S&P Insurance ETF SPDR,KIE,20260109,60.38,60.63,59.87,59.94,819000
Innovator U.S. Smallcap Power Buffer ETF Jan,KJAN,20260109,42.37,42.67,42.3474,42.48,106200
Innovator U.S. Smallcap Power Buffer ETF Jul,KJUL,20260109,32.26,32.33,32.24,32.3299,4100
Innovator U.S. Small Cap Power Buffer ETF June,KJUN,20260109,28.32,28.32,28.32,28.32,200
KS China Internet and Covered Call Strategy ETF,KLIP,20260109,31.31,31.31,31.06,31.2,25500
Invesco MSCI North America Climate ETF,KLMN,20260109,28.5694,28.5694,28.5694,28.5694,100
Invesco MSCI Global Climate 500 ETF,KLMT,20260109,31.485,31.6124,31.485,31.6124,1500
KS Global Luxury Index ETF,KLXY,20260109,27.34,27.35,27.3179,27.3179,14100
Innovator U.S. Small Cap Power Buffer ETF March,KMAR,20260109,29.27,29.3303,29.24,29.3303,3500
Innovator U.S. Small Cap Power Buffer ETF May,KMAY,20260109,28.53,28.61,28.53,28.57,8700
Virtus Kar Mid-Cap ETF,KMID,20260109,25.16,25.35,25.1098,25.28,7200
Kfa Mount Lucas Index Strategy ETF,KMLM,20260109,26.34,26.36,26.2601,26.347,90800
Invesco Next Gen Connectivity ETF,KNCT,20260109,136.32,139.1528,136.2231,139.1528,5400
FT Vest S&P 500 Dividend Aristocrats Target Inco,KNG,20260109,50.34,50.4108,50.17,50.37,399800
Axs Knowledge Leaders ETF,KNO,20260109,53.19,53.39,53.16,53.3224,3800
Innovator U.S. Small Cap Power Buffer ETF Novemb,KNOV,20260109,29.16,29.27,29.15,29.2495,3500
Fundamentals First ETF,KNOW,20260109,11.72,11.77,11.72,11.7604,700
Simplify Energy and Infrastructure Credit ETF,KNRG,20260109,25.9,25.96,25.9,25.94,7700
Knorex Ltd Cl A,KNRX,20260109,1.41,1.44,1.3995,1.41,4100
Innovator U.S. Smallcap Power Buffer ETF Oct,KOCT,20260109,34.58,34.64,34.51,34.52,19600
Xt MSCI Kokusai Equity ETF,KOKU,20260109,122.29,122.29,122.0893,122.0893,200
Ultrashort Bloomberg Natural Gas -2X ETF,KOLD,20260109,46.75,49.47,46.01,49.39,5605100
SPDR Kensho & New Economies Composite ETF,KOMP,20260109,64.45,64.81,63.99,64.55,126900
Opportunities Formidable Fortress ETF,KONG,20260109,31.2433,31.2433,31.2433,31.2433,0
North Shore Equity Rotation ETF,KOOL,20260109,12.96,12.96,12.933,12.95,2400
American Century Dvfd Corp Bond ETF,KORP,20260109,47.34,47.45,47.28,47.42,91800
South Korea Bull 3X ETF Direxion,KORU,20260109,245.45,251.87,242.89,250.56,103400
KS Dragon Capital Vietnam Growth Index ETF,KPHO,20260109,25.07,25.119,25.01,25.119,2700
Kraneshares 100% Kweb Defined ETF Jan 2026,KPRO,20260109,28.5953,28.5953,28.5953,28.5953,100
Kfa Global Carbon ETF,KRBN,20260109,35.58,35.69,35.4406,35.55,10800
S&P Regional Banking ETF SPDR,KRE,20260109,68.27,68.67,67.4,67.48,14238200
Saudi Arabia Ishares MSCI ETF,KSA,20260109,36.69,36.92,36.68,36.87,467900
Innovator U.S. Small Cap Power Buffer ETF Sep,KSEP,20260109,28.6846,28.6846,28.52,28.6507,4700
Kurv Silver Enhanced Income ETF,KSLV,20260109,38.9,40.16,38.76,39.7,81400
Kraneshares Hedgeye Hedged Equity Index ETF,KSPY,20260109,27.77,27.875,27.72,27.79,62500
KS Sse Star Market 50 Index ETF,KSTR,20260109,20.52,20.7995,20.52,20.75,166300
KS Hang Seng Tech Index ETF,KTEC,20260109,16.39,16.44,16.22,16.37,30400
T-Rex 2X Long Ktos Daily Target ETF,KTUP,20260109,43.6,51,42.66,49.94,130600
Kulr Technology Group Inc,KULR,20260109,3.45,3.45,3.265,3.34,752000
KS MSCI All China Health Care Index ETF,KURE,20260109,18.85,19.03,18.85,18.89,27200
KS Kfa Value Line Dynamic Core Equity ETF,KVLE,20260109,26.01,26.17,26.01,26.1487,6600
KS CSI China Internet ETF,KWEB,20260109,35.95,35.965,35.52,35.83,17046300
Kraneshares Wahed Alternative Income Index ETF,KWIN,20260109,25.22,25.3556,25.2001,25.31,12300
Ishares MSCI Kuwait ETF,KWT,20260109,38.22,38.22,38.1437,38.1437,300
Global Cons Staples Ishares ETF,KXI,20260109,64.57,65.23,64.57,65.22,84500
Kurv High Income ETF,KYLD,20260109,22.2,22.5192,22.2,22.43,52400
S&P Biotech Bear -3X ETF Direxion,LABD,20260109,19.32,19.775,18.89,19.64,2219000
S&P Biotech Bull 3X ETF Direxion,LABU,20260109,170.6,173.73,166.27,167.73,533000
Tradr 2X Long Alab Daily ETF,LABX,20260109,13.5,14.585,13.11,14.22,892800
FT Multi-Strategy ETF,LALT,20260109,23.26,23.26,23.1361,23.16,12100
Innovator Premium Income 15 Buffer ETF Apr,LAPR,20260109,25.171,25.18,25.171,25.18,800
Leatherback Long/Short Alternative Yield ETF,LBAY,20260109,24.54,24.63,24.54,24.6177,20700
Whitewolf Publicly Listed Private Equity ETF,LBO,20260109,29.7139,29.7139,29.7139,29.7139,500
Principal Capital Appreciation Select ETF,LCAP,20260109,30.16,30.34,30.12,30.29,19600
Touchstone US Large Cap Focused ETF,LCF,20260109,42.91,42.91,42.8955,42.8955,700
Logan Capital Broad Innovative Growth ETF,LCLG,20260109,64.46,65.0976,64.44,65.0976,1100
,LCO,20260109,25.2843,25.2843,25.2843,25.2843,100
Pacer S&P 500 Quality Fcf Aristocrats ETF,LCOW,20260109,24.13,24.21,24.11,24.1944,3400
Leuthold Core ETF,LCR,20260109,38.7,38.7,38.6604,38.685,1200
Blackrock World Ex U.S. Carbon Transition ETF,LCTD,20260109,55.96,56.19,55.925,56.17,9200
Blackrock U.S. Carbon Transition Readiness ETF,LCTU,20260109,75.03,75.49,74.9121,75.38,24300
Lineage Cell Therapeutics Inc,LCTX,20260109,1.77,1.77,1.69,1.71,1001400
Lifex 2035 Term Income ETF,LDDR,20260109,83.09,83.278,83.09,83.2748,19900
Ishares Ibonds 1-5 Year Corporate Ladder ETF,LDRC,20260109,25.39,25.44,25.34,25.41,29800
Ishares Ibonds 1-5 Year High Yield and Income LA,LDRH,20260109,24.9795,25.095,24.9784,25,14700
Ishares Ibonds 1-5 Year TIPS Ladder ETF,LDRI,20260109,25.19,25.27,25.19,25.21,5400
Ishares Ibonds 1-5 Year Treasury Ladder ETF,LDRT,20260109,25.34,25.34,25.27,25.32,45600
Pimco Low Duration ETF,LDUR,20260109,96.01,96.0499,95.9722,96.025,27400
Siren Divcon Leaders Dividend ETF,LEAD,20260109,79.05,79.53,78.78,79.45,2300
Legato Merger Corp III Wts [Legt/W],LEG.W,20260109,0.45,0.49,0.4499,0.49,183600
Legato Merger Corp. III,LEGT,20260109,10.8796,10.8796,10.87,10.87,700
,LEGT.WS,20260109,0.45,0.49,0.4499,0.49,183077
JPM EM Local Currency Bond,LEMB,20260109,41.63,41.685,41.615,41.66,638200
Sarmaya Thematic ETF,LENS,20260109,41.24,41.52,41.24,41.3861,1800
Lifex 2050 Longevity Income ETF,LFAI,20260109,154.6967,154.6967,154.6967,154.6967,100
Lifex 2055 Longevity Income ETF,LFAO,20260109,168.5397,168.5397,168.5397,168.5397,100
Lifex 2060 Longevity Income ETF,LFAW,20260109,179.8221,179.8221,179.8221,179.8221,100
Lifex 2065 Longevity Income ETF,LFBE,20260109,189.5393,189.5393,189.5393,189.5393,100
Lifex Durable Income ETF,LFDR,20260109,189.6166,189.6166,189.6166,189.6166,100
Vaneck Long/Flat Trend ETF,LFEQ,20260109,55.16,55.16,55.1094,55.1094,200
Yieldmax Crypto Industry & Tech Portfolio Option,LFGY,20260109,26.5,26.54,25.97,26.01,56600
Legacy Education Inc,LGCY,20260109,10.44,10.45,10.25,10.45,29200
Intech S&P Large Cap Diversified Alpha ETF,LGDX,20260109,23.2351,23.2351,23.2351,23.2351,100
Hcm Defender 500 Index ETF,LGH,20260109,63.13,63.41,62.84,63.2896,11800
Langar Global Healthtech ETF,LGHT,20260109,10.4584,10.4584,10.4584,10.4584,100
LGL Group,LGL,20260109,5.8,5.81,5.73,5.75,11000
SSGA US Large Cap Low Vol Index SPDR,LGLV,20260109,179.15,179.8643,179.15,179.51,23200
FT Long Duration Opportunities ETF,LGOV,20260109,21.81,21.915,21.8,21.9,183900
Logprostyle Inc,LGPS,20260109,1.05,1.05,1.02,1.02,6900
Lifex 2050 Inflation-Protected Longevity Income,LIAE,20260109,211.4909,211.4909,211.4909,211.4909,100
Lifex 2055 Infl-Prot Longevity Income ETF,LIAM,20260109,240.0331,240.0331,240.0331,240.0331,0
Lifex 2060 Infl-Prot Longevity Income ETF,LIAU,20260109,266.0334,266.0334,266.0334,266.0334,100
Lifex 2065 Infl-Prot Longevity Income ETF,LIBD,20260109,282.9501,282.9501,282.9501,282.9501,100
Lifex 2028 Income Bucket ETF,LIFT,20260109,28.11,28.1445,28.11,28.1445,1000
Themes Lithium & Battery Metal Miners ETF,LIMI,20260109,51.05,52.31,51.05,52.055,8700
GX Lithium & Battery Tech ETF,LIT,20260109,67.78,68.299,67.3268,68.21,278800
Simplify Piper Sandler US Small-Cap Plus Income,LITL,20260109,30.44,30.44,30.3455,30.3455,100
Innovator Premium Income 15 Buffer ETF Jan,LJAN,20260109,24.6,24.67,24.6,24.65,6300
Innovator Premium Income 15 Buffer ETF July,LJUL,20260109,23.99,24.045,23.99,24.045,400
Flexshares Credit Scored US Long Corp,LKOR,20260109,42.65,42.775,42.5578,42.7573,3100
GX Long-Term Treasury Ladder ETF,LLDR,20260109,45.8223,45.8223,45.8223,45.8223,100
Rex Lly Growth & Income ETF,LLII,20260109,29.03,29.03,28.06,28.15,5300
DeFiance Daily Target 2X Long Lly ETF,LLYX,20260109,25.79,26.66,24.7231,24.78,303700
Crypto Industry Bull 2X ETF Direxion,LMBO,20260109,25.7,26.6,25.6,25.6,10900
Lemonade Inc WT [Lmnd/W],LMN.W,20260109,0.0151,0.0199,0.0126,0.0188,172800
,LMND.WS,20260109,0.02,0.02,0.0126,0.0188,172673
Ishares Long-Term National Muni Bond ETF,LMUB,20260109,50.6373,50.8,50.6373,50.775,7100
GX U.S. Natural Gas ETF,LNGX,20260109,35.33,35.33,34.62,34.73,4500
Innovator Premium Income 15 Buffer ETF Oct,LOCT,20260109,23.95,23.96,23.9201,23.96,5900
Comstock Inc,LODE,20260109,3.71,3.88,3.7001,3.74,1303300
Aam Slc Low Duration Income ETF,LODI,20260109,25.2665,26.57,25.2601,25.29,9900
Pimco Senior Loan Active Exchange,LONZ,20260109,50.51,50.51,50.49,50.5,44800
Gabelli Love Our Planet & People ETF,LOPP,20260109,34.3314,34.3314,34.3314,34.3314,100
Innovator Deepwater Frontier Tech ETF,LOUP,20260109,80.44,80.86,80.24,80.77,8700
Ab US Low Volatility Equity ETF,LOWV,20260109,79.36,79.6,79.36,79.528,3000
Logistic Properties of The Americas,LPA,20260109,2.6242,2.77,2.61,2.77,14900
Long Pond Real Estate Select ETF,LPRE,20260109,27.15,27.15,26.99,27.0205,8300
Lg Qraft Ai-Powered U.S. Large Cap Core ETF,LQAI,20260109,39.74,39.74,39.729,39.729,11300
Invst Grade Corp Bond Ishares Iboxx $ ETF,LQD,20260109,110.32,110.68,110.215,110.64,29660200
Ishares BBB Rated Corporate Bond ETF,LQDB,20260109,87.24,87.4101,87.22,87.4101,2800
Int Rate Hedged Corp Bond Ishares ETF,LQDH,20260109,93.49,93.65,93.49,93.57,40900
Ishares Inflation Hedged Corporate Bond ETF,LQDI,20260109,26.46,26.49,26.46,26.46,6000
Ishares Invt Grade Corp Bond Buywrite Strategy E,LQDW,20260109,24.6483,24.695,24.62,24.6445,59200
SPDR Marketaxess Investment Grade 400 Corporate,LQIG,20260109,95.72,96.1,95.72,96.0626,23400
Peo Alphaquest Thematic Pe ETF,LQPE,20260109,19.3995,19.3995,19.3995,19.3995,0
FT Vest Investment Grade & Target Income ETF,LQTI,20260109,19.94,20.065,19.9,20.01,62500
Tradr 2X Long Lrcx Daily ETF,LRCU,20260109,95.75,108.51,93.37,108.065,45800
Ab US Large Cap Strategic Equities ETF,LRGC,20260109,79.01,79.54,79.01,79.38,25100
USA Multifactor Ishares Edge MSCI ETF,LRGF,20260109,70.05,70.46,69.88,70.34,220700
Macquarie Focused Large Growth ETF,LRGG,20260109,29.67,29.83,29.639,29.79,15600
Trueshares Technology AI & Deep Learning ETF,LRNZ,20260109,47.29,47.32,47.03,47.03,3400
Leadershares Alphafactor US Core Equity ETF,LSAF,20260109,46.88,46.96,46.8,46.8,6300
Leadershares Alphafactor Tactical Focused ETF,LSAT,20260109,39.67,39.93,39.67,39.93,12100
