<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Knight-Swift Transporation Inc,KNX,20260109,57.5,57.76,56.39,57.18,3780600
Coca-Cola Company,KO,20260109,69.43,70.66,69.12,70.51,19638600
Eastman Kodak,KODK,20260109,8.05,8.1059,7.73,7.8,972900
Coca Cola Femsa S.A.B. DE C.V. ADR,KOF,20260109,96.5,98.46,96.265,98.46,147400
Koppers Holdings Inc,KOP,20260109,27.04,28.47,26.81,28.33,220000
Kore Group Holdings Inc,KORE,20260109,4.75,4.9,4.705,4.88,45800
Kosmos Energy Ltd,KOS,20260109,0.905,0.9595,0.905,0.9334,14549000
Kroger Company,KR,20260109,59.78,60.08,58.75,59.51,7337100
Kilroy Realty Corp,KRC,20260109,39.9,40.18,39.57,39.85,1450700
KKR Real Estate Finance Trust Inc [Kref/Pa],KRE-A,20260109,18.16,18.2,18.0501,18.14,53400
KKR Real Estate Finance Trust Inc,KREF,20260109,7.93,8.02,7.845,7.96,800600
,KREFpA,20260109,18.16,18.2,18.0501,18.135,48885
Kite Realty Group Trust,KRG,20260109,23.74,24,23.29,23.38,2513100
Karman Holdings Inc,KRMN,20260109,104,109.22,103.145,106.22,2493000
Kronos Worldwide Inc,KRO,20260109,5.28,5.38,5.11,5.33,337900
Kimbell Royalty Partners,KRP,20260109,11.83,11.94,11.72,11.83,612100
Rice Acquisition Corporation 3 Units [Krsp.U],KRS.U,20260109,10.6999,10.71,10.5501,10.6201,8300
Rice Acquisition Corporation 3 WT [Krsp.W],KRS.W,20260109,1,1.05,1,1.05,700
Rice Acquisition Corporation 3 Cl A,KRSP,20260109,10.4,10.43,10.35,10.37,6600
,KRSP.U,20260109,10.6999,10.71,10.5501,10.6201,7826
Kohl's Corp,KSS,20260109,21.77,22.3,20.35,20.54,4065200
Korea Telecom Corp ADR,KT,20260109,18.95,18.985,18.765,18.82,1443400
Kontoor Brands Inc,KTB,20260109,62.5,63.295,60.64,61.83,1338900
Scudder Municiple Income Trust,KTF,20260109,9.12,9.13,9.11,9.13,81500
Lehman Abs Corp,KTN,20260109,25.72,25.75,25.51,25.52,7600
Kenvue Inc,KVUE,20260109,17.05,17.05,16.75,16.83,57493000
Klaviyo Inc Series A,KVYO,20260109,28.09,28.65,27.26,28.58,2635500
Kennedy-Wilson Holdings Inc,KW,20260109,9.89,9.99,9.66,9.77,964400
Quaker Chemical Corp,KWR,20260109,149.38,152.4099,148.065,151.1,126400
Kayne Anderson MLP Investment Company,KYN,20260109,12.27,12.4,12.27,12.29,594400
Loews Corp,L,20260109,105.19,105.83,104.58,104.58,590700
Lithium Americas Corp,LAC,20260109,5.61,5.65,5.31,5.39,9885600
Lithia Motors,LAD,20260109,332.56,338.01,328.1355,336.41,253800
Ladder Capital Corp,LADR,20260109,10.84,10.96,10.82,10.95,854000
Lanvin Group Holdings Limited,LANV,20260109,1.97,1.97,1.78,1.87,14600
Lithium Argentina Ag,LAR,20260109,7.05,7.1,6.835,6.98,2519000
CS Disco Inc,LAW,20260109,7.42,7.46,7.23,7.38,92900
Lazard Inc,LAZ,20260109,50.68,52.02,50.19,51.53,1101500
Landbridge Company Llc Cl A,LB,20260109,47.88,50.825,47.68,50.48,658100
Liberty Energy Inc,LBRT,20260109,19.34,19.7,19.02,19.67,3210600
Lendingclub Corp,LC,20260109,20.75,20.9,19.82,19.98,1288900
Lci Industries,LCII,20260109,128.99,131.32,127.23,131.01,349600
Loandepot Inc Cl A,LDI,20260109,2.81,3.135,2.795,2.91,16312200
Leidos Holdings Inc,LDOS,20260109,193.68,200.9999,193.65,198.34,994900
Cohen & Steers Ltd Duration Prfd Income Fund,LDP,20260109,21.31,21.43,21.31,21.34,44800
Lear Corp,LEA,20260109,126.24,126.245,122.23,124.42,488700
Leggett & Platt Inc,LEG,20260109,12.1,12.38,12.055,12.31,1701000
Lennar Corp,LEN,20260109,113,119.32,112.97,119.25,7685900
Lennar Corp Cl B,LEN.B,20260109,102.59,109.005,102.59,108.24,195700
Dreyfus Strategic Municipals,LEO,20260109,6.43,6.445,6.39,6.43,279800
Centrus Energy Corp,LEU,20260109,304.99,318.0525,300.005,306.19,1228600
Levi Strauss & Company Cl A,LEVI,20260109,22.1,22.125,21.27,21.75,1742800
Lument Finance Trust Inc,LFT,20260109,1.42,1.48,1.4,1.43,564200
Lument Finance Trust Inc,LFT-A,20260109,20.31,20.4999,20.2694,20.395,2100
,LFTpA,20260109,20.31,20.4999,20.2694,20.395,1649
Lazard Global Total Return and,LGI,20260109,17.79,17.94,17.79,17.94,110500
Laboratory Corp of America Holdings,LH,20260109,256.71,256.71,251.7,251.81,507600
L3Harris Technologies Inc,LHX,20260109,327.5,338.23,327.25,335.77,1895200
Lennox International,LII,20260109,524.12,536.52,521.46,530.23,372500
Lionsgate Studios Corp,LION,20260109,8.97,9.1,8.815,8.99,3085700
Lightinthebox Holding Ltd ADR,LITB,20260109,2.52,2.7399,2.52,2.69,18400
Eli Lilly and Company,LLY,20260109,1086.82,1104.52,1063.03,1063.56,2561900
Lemonade Inc,LMND,20260109,81.22,82.49,77.82,79.65,1138700
Lockheed Martin Corp,LMT,20260109,525.88,546.07,525.88,542.92,2647600
Lincoln National Corp,LNC,20260109,44.11,44.42,43.42,43.78,1641400
Lincoln National Corp,LNC-D,20260109,26.85,26.94,26.76,26.84,38500
,LNCpD,20260109,26.85,26.94,26.76,26.83,31628
Brasilagro ADR,LND,20260109,3.67,3.76,3.67,3.67,41900
Cheniere Energy,LNG,20260109,197.93,199.32,194,194.18,1793000
Lindsay Corp,LNN,20260109,126.48,126.59,122.7,125.14,165400
Loar Holdings Inc,LOAR,20260109,73.87,74.97,72.93,73.14,940400
Live Oak Bancsh,LOB,20260109,37.57,37.85,36.575,36.63,292500
Live Oak Bancshares Inc,LOB-A,20260109,25.78,26.0544,25.7083,25.91,10300
,LOBpA,20260109,25.78,26.0544,25.7083,25.91,9801
Local Bounti Corp,LOCL,20260109,2.25,2.26,2.2,2.24,12200
Loma Negra Comp Indu Argentina Sociedad ADR,LOMA,20260109,12.37,12.54,12.25,12.46,157500
Lowe's Companies,LOW,20260109,259.95,268.045,259.13,267.21,4092100
Dorian Lpg Ltd,LPG,20260109,27.69,27.838,26.86,27.21,387100
Lg Display Company Ltd ADR,LPL,20260109,4.16,4.19,4.13,4.17,544000
Louisiana-Pacific Corp,LPX,20260109,85.95,92.37,85.34,92.05,1985600
Stride Inc,LRN,20260109,69.5,70.374,67.23,70.16,1298000
Lightspeed Commerce Inc,LSPD,20260109,12.33,12.59,12.07,12.19,510200
Ltc Properties,LTC,20260109,35.6,35.8504,35.3975,35.48,318900
Life Time Group Holdings Inc,LTH,20260109,28.16,28.545,27.725,28.45,2217800
Latam Airlines Group S.A. ADR,LTM,20260109,58.19,58.35,56.77,56.88,551300
Lufax Holding Ltd ADR,LU,20260109,2.7,2.75,2.62,2.63,910800
Lucky Strike Entertainment Corp,LUCK,20260109,8.88,8.88,8.46,8.82,243500
Lumen Technologies Inc,LUMN,20260109,8.1,8.305,7.895,7.91,8944700
Southwest Airlines Company,LUV,20260109,44.2,45.02,43.87,44.52,12343400
Luxexperience B.V. ADR,LUXE,20260109,8.25,8.47,8.225,8.26,149700
Las Vegas Sands,LVS,20260109,62.11,62.11,58.865,58.95,9774800
Livewire Group Inc WT [Lvwr/W],LVW.W,20260109,0.0558,0.0597,0.0505,0.0517,19100
Livewire Group Inc,LVWR,20260109,3.13,3.16,2.9,3,58200
,LVWR.WS,20260109,0.0558,0.0597,0.0505,0.0517,19018
Lamb Weston Holdings Inc,LW,20260109,41.35,41.61,40.65,41.37,2328100
Luxfer Holdings Plc,LXFR,20260109,14.08,14.33,13.92,14.31,97800
Lxp Industrial Trust,LXP,20260109,50.51,51.03,50.01,50.07,550000
Lexington Realty Trust [Lxp/Pc],LXP-C,20260109,46.86,46.86,46.86,46.86,200
,LXPpC,20260109,46.86,46.86,46.86,46.86,100
Lsb Industries Inc,LXU,20260109,9.25,9.33,9.02,9.3,628000
Lyondellbasell Industries NV,LYB,20260109,47.81,48.83,46.62,48.71,5325800
Lloyds Banking Group Plc ADR,LYG,20260109,5.39,5.42,5.3746,5.41,6342900
Live Nation Entertainment,LYV,20260109,148.14,148.955,144.87,146.07,2856000
La-Z-Boy Inc,LZB,20260109,39.33,39.8099,38.66,39.58,483200
Lifezone Metals Limited,LZM,20260109,5.19,5.2719,5.11,5.17,238700
Lifezone Metals Limited WT,LZM.W,20260109,0.6094,0.65,0.6094,0.6499,13700
,LZM.WS,20260109,0.6094,0.65,0.6094,0.6499,13645
,M,20260109,23.78,24.02,23,23.17,5865700
Mastercard Inc,MA,20260109,578.11,581.311,575.34,575.54,2221200
Mid-America Apartment Communities,MAA,20260109,138.54,139.151,134.75,135.9,1915600
Mid Amer Apt Cmntys Inc [Maa/Pi],MAA-I,20260109,53,53,52.2736,52.2736,2600
,MAApI,20260109,53,53,52.2736,52.2736,1850
Macerich Company,MAC,20260109,18.56,18.65,18.24,18.32,1171000
Magnera Corporation,MAGN,20260109,14.68,14.75,14.24,14.68,381500
Main Street Capital Corp,MAIN,20260109,62.25,62.5225,61.12,61.19,591300
Manpower Inc,MAN,20260109,31.14,31.75,30.3,31.41,743100
Manchester United Ltd,MANU,20260109,16.39,16.78,16.31,16.65,294300
Masco Corp,MAS,20260109,67.97,69.51,66.62,69.32,3013100
Mativ Holdings Inc,MATV,20260109,12.75,13.11,12.66,13.08,205400
Matson Inc,MATX,20260109,131.32,133.21,129.82,132,303500
Mediaalpha Inc Cl A,MAX,20260109,11.89,11.89,11.3,11.6,431800
Masterbrand Inc,MBC,20260109,11.83,12.295,11.69,12.28,1844800
MBIA Inc,MBI,20260109,7.62,7.77,7.08,7.14,424300
Moelis,MC,20260109,74.32,75.6299,72.77,74.58,730800
Metropolitan Bank Holding Corp,MCB,20260109,81.32,82.32,79.29,79.97,112600
McDonald's Corp,MCD,20260109,309.04,309.52,304.6,307.32,2971900
Barings Corporate Investors,MCI,20260109,18.77,19.4499,18.73,19.28,35000
Mckesson Corp,MCK,20260109,816.98,824.701,814.77,816.06,583500
Xai Madison Equity Premium Income Fund,MCN,20260109,6.1,6.11,6.0638,6.08,131300
Moody's Corp,MCO,20260109,531.3,537.27,530.88,531.61,653900
MFS Charter Income Trust,MCR,20260109,6.26,6.28,6.26,6.27,53300
Marcus Corp,MCS,20260109,15.25,15.41,14.99,15.25,118100
Mercury General Corp,MCY,20260109,90.59,90.75,89.49,89.69,137300
Pediatrix Medical Group Inc,MD,20260109,21.85,22.51,21.85,22.34,481700
Westwood Enhanced Midstream Income ETF,MDST,20260109,25.85,26.099,25.85,26,42800
Medtronic Inc,MDT,20260109,98.95,99.195,97.1,97.53,5982800
Mdu Res Group Inc,MDU,20260109,20.13,20.35,20.125,20.25,1457500
Modiv Inc Cl C,MDV,20260109,14.31,14.47,14.2101,14.33,23400
Modiv Industrial Inc,MDV-A,20260109,25.05,25.05,24.8,24.98,12700
,MDVpA,20260109,25.05,25.05,24.8,24.98,12441
Mayville Engineering Company,MEC,20260109,18.45,18.83,17.49,18.41,155800
Medifast Inc,MED,20260109,11.07,11.47,10.94,11.42,290900
Montrose Environmental Group Inc,MEG,20260109,25.95,26.94,25.9,26.33,262100
Nyli CBRE Global Infrastructure Megatrends Term,MEGI,20260109,13.65,13.76,13.65,13.65,104300
Methode Electronics,MEI,20260109,7.1,7.1971,6.9,6.98,197000
Bank of America Corp [Mer/Pk],MER-K,20260109,25.53,25.59,25.5,25.57,33600
,MERpK,20260109,25.53,25.59,25.5,25.57,30781
Metlife Inc,MET,20260109,79.65,80.07,78.995,79.41,2532200
Metlife Inc [Met/Pa],MET-A,20260109,21.6,21.61,21.52,21.59,92000
Metlife Inc [Met/Pe],MET-E,20260109,24.02,24.055,23.83,23.86,48900
Metlife Inc [Met/Pf],MET-F,20260109,19.97,19.97,19.79,19.86,89900
,METpA,20260109,21.6,21.61,21.52,21.58,86290
,METpE,20260109,24.02,24.055,23.83,23.87,42158
,METpF,20260109,19.97,19.97,19.79,19.86,80533
MFA Financial Inc,MFA,20260109,9.6,9.775,9.58,9.69,2202800
MFA Financial Inc [Mfa/Pb],MFA-B,20260109,20.13,20.2299,20.1192,20.198,10300
MFA Financial Inc [Mfa/Pc],MFA-C,20260109,22.76,22.85,22.76,22.84,8000
MFA Financial Inc 8.875% Senior Notes Due 2029,MFAN,20260109,25.28,25.35,25.28,25.3,6600
MFA Financial Inc 9.0%,MFAO,20260109,25.52,25.6,25.45,25.55,4800
,MFApB,20260109,20.13,20.2299,20.1192,20.198,9097
,MFApC,20260109,22.76,22.85,22.76,22.81,7126
Manulife Financial Corp,MFC,20260109,37.22,37.575,37.0899,37.36,1937900
Mizuho Financial Group ADR,MFG,20260109,7.94,8.0372,7.85,7.94,4333800
MFS Muni Income Trust,MFM,20260109,5.44,5.45,5.38,5.45,83000
MFS Active Core Plus Bond ETF,MFSB,20260109,25.23,25.29,25.2,25.26,558700
MFS Active Growth ETF,MFSG,20260109,28.5,28.6708,28.398,28.6349,69900
MFS Active International ETF,MFSI,20260109,31.03,31.16,30.9175,31.09,399800
MFS Active Intermediate Muni Bond ETF,MFSM,20260109,25.14,25.145,25.135,25.145,1100
MFS Active Value ETF,MFSV,20260109,27.3,27.4,27.245,27.33,116800
Mistras Group Inc,MG,20260109,13.44,13.78,13.3105,13.75,179400
Magna International,MGA,20260109,56.36,56.68,55.67,56.21,1830300
MFS Government Markets Income Trust,MGF,20260109,3.02,3.04,3.02,3.035,66400
MGM Resorts International,MGM,20260109,35.68,35.805,34.305,34.45,5329900
Affiliated Managers Group Inc,MGR,20260109,21.36,21.45,21.25,21.45,17600
Affiliated Managers Group Inc 4.750% Junior Sub,MGRB,20260109,17.2,17.415,17.11,17.37,50800
Affiliated Managers Group Inc 4.200%,MGRD,20260109,15.42,15.54,15.41,15.54,10400
Affiliated Managers Group Inc 6.750%,MGRE,20260109,24.4,24.4,24.22,24.3,51200
Magnolia Oil & Gas Corp,MGY,20260109,22.49,22.58,22.06,22.27,1735600
McGraw Hill Inc,MH,20260109,15.06,16,14.94,15.87,624100
Blackrock Muniholdings Fund,MHD,20260109,11.83,11.87,11.8201,11.87,103900
Western Asset Muni High,MHF,20260109,6.91,6.9662,6.89,6.94,41600
Mohawk Industries,MHK,20260109,116.09,119.3399,115.3,118.72,1394600
Maiden Holdings Ltd 6.625% No,MHLA,20260109,13.022,13.022,13.02,13.02,600
Blackrock Muniholdings New York Quality Fund,MHN,20260109,10.35,10.4,10.323,10.37,41500
Maiden Holdings North America,MHNC,20260109,15.8,15.875,15.8,15.8,1400
M/I Homes,MHO,20260109,134.22,140.285,134.22,139.34,376600
Miami International Holdings Inc,MIAX,20260109,42.72,43.5,41.815,42.33,721100
The Magnum ICE Cream Company N.V.,MICC.OB,20260109,15.35,15.41,15.13,15.28,1933000
MFS Intermediate Income Trust,MIN,20260109,2.65,2.66,2.64,2.65,193000
Mirion Technologies Inc,MIR,20260109,25.25,27.1,25.25,25.97,6132600
Ag Mtg Invt TR Inc [Mitt/Pa],MIT-A,20260109,23.08,23.25,23.08,23.25,1100
Ag Mtg Invt TR Inc [Mitt/Pb],MIT-B,20260109,22.3,22.5,22.3,22.5,3000
Ag Mtg Invt TR Inc [Mitt/Pc],MIT-C,20260109,25.35,25.39,25.25,25.25,10400
Ag Mortgage Investment Trust 9.500%,MITN,20260109,25.56,25.57,25.56,25.57,1000
Ag Mortgage Investment Trust 9.500%,MITP,20260109,25.44,25.46,25.44,25.46,3600
Ag Mortgage Investment Trust,MITT,20260109,8.64,8.83,8.64,8.79,216600
,MITTpA,20260109,23.08,23.25,23.08,23.25,927
,MITTpB,20260109,22.3,22.5,22.3,22.5,2705
,MITTpC,20260109,25.35,25.39,25.25,25.25,10116
Blackrock Muniyield Michigan Quality Fund,MIY,20260109,11.82,11.94,11.82,11.89,23300
Mccormick & Company,MKC,20260109,67.28,68.31,66.74,67.72,2735400
Mccormick & Company Inc,MKC.V,20260109,67.51,68.05,67.16,67.855,4200
Markel Corp,MKL,20260109,2138.69,2164.97,2124.355,2132.84,38100
Mueller Industries,MLI,20260109,121.91,123.95,121.48,123.6,640500
Martin Marietta Materials,MLM,20260109,643.12,667.66,642.41,666.67,396700
Maui Land & Pineapple Company,MLP,20260109,16.93,16.96,16.68,16.84,12500
Miller Industries,MLR,20260109,39.69,39.855,38.7135,39.59,39200
Marsh & Mclennan Companies,MMC,20260109,186.67,187.7,185.59,186.01,1994300
Nyli Mackay Definedterm Municipal Opportunities,MMD,20260109,15.26,15.26,15.1704,15.23,31800
Marcus & Millichap,MMI,20260109,26.97,27.03,25.82,26.14,329500
MFS Active Mid Cap ETF,MMID,20260109,25.8787,25.8787,25.8787,25.8787,100
Texas Capital Government Money Market ETF,MMKT,20260109,100.22,100.24,100.22,100.235,11900
3M Company,MMM,20260109,165.49,166.25,163.95,165.24,2306800
Maximus Inc,MMS,20260109,95,97.2,95,97.05,634200
MFS Multimarket Income Trust,MMT,20260109,4.6899,4.71,4.666,4.7,61400
Western Asset Managed Municipals Fund,MMU,20260109,10.5,10.545,10.48,10.52,114400
Mach Natural Resources LP,MNR,20260109,11.15,11.1779,10.46,10.83,654600
Miniso Group Holding Ltd ADR,MNSO,20260109,19.75,19.88,19.71,19.8,224300
Mntn Inc Cl A,MNTN,20260109,11.81,12.1425,11.59,12.09,368900
Altria Group,MO,20260109,56.78,57.56,56.65,57.53,12679200
Modine Manufacturing Company,MOD,20260109,120,127.71,119.31,125.14,2415800
Topgolf Callaway Brands Corp,MODG,20260109,13.62,13.8563,13.43,13.77,2233700
Moog Inc Cl A,MOG.A,20260109,265.64,272.71,265.64,272.65,143000
Moog Inc Cl B,MOG.B,20260109,267,267,267,267,200
Mogu Inc ADR,MOGU,20260109,2.24,2.29,2.2,2.25,2200
Molina Healthcare Inc,MOH,20260109,184.5,185,178.17,181.5,1331200
Mosaic Company,MOS,20260109,26.72,27.25,25.765,25.98,8657200
Movado Group Inc,MOV,20260109,22.53,22.68,22.1,22.66,158600
MP Materials Corp,MP,20260109,61.89,62.98,59.35,62,9172200
Blackrock Muniyield Pennsylvania Quality Fund,MPA,20260109,11.235,11.32,11.235,11.31,12000
Marathon Petroleum Corp,MPC,20260109,178.02,178.8,174.38,176.17,2589000
Mplx LP,MPLX,20260109,52.56,53.32,52.55,53,1130100
Barings Participation Investors,MPV,20260109,18.05,18.71,18.05,18.54,22700
Medical Properties Trust,MPW,20260109,5.45,5.49,5.4,5.42,4020000
Marine Products Corp,MPX,20260109,9.36,9.5,9.34,9.47,23900
Blackrock Muniyield Quality Fund II,MQT,20260109,10.13,10.1493,10.11,10.135,42400
Blackrock Muniyield Quality Fund,MQY,20260109,11.56,11.6,11.53,11.6,181500
Merck & Company,MRK,20260109,110.87,112.4799,110.22,110.53,11040700
Millrose Properties Inc,MRP,20260109,29.25,30.98,29.235,30.83,1559600
Morgan Stanley,MS,20260109,185.7,186.92,185.04,186.32,4630800
Morgan Stanley [Ms/Pa],MS-A,20260109,19.73,19.8299,19.62,19.73,196600
Morgan Stanley [Ms/Pe],MS-E,20260109,25.57,25.58,25.48,25.48,38200
Morgan Stanley [Ms/Pf],MS-F,20260109,25.25,25.28,25.21,25.21,47800
Morgan Stanley [Ms/Pi],MS-I,20260109,25.06,25.08,25.04,25.04,73600
Morgan Stanley [Ms/Pk],MS-K,20260109,24.61,24.715,24.58,24.61,42000
Morgan Stanley 4.875% Prf Perpetual USD 25 1/100,MS-L,20260109,20.57,20.61,20.49,20.605,26600
Morgan Stanley,MS-O,20260109,17.71,17.79,17.6,17.76,480800
Morgan Stanley,MS-P,20260109,25.5,25.53,25.44,25.5,56000
Morgan Stanley,MS-Q,20260109,26.35,26.35,26.26,26.28,37500
Msa Safety Inc,MSA,20260109,172,174.35,169.94,173.98,160100
Mesabi Trust,MSB,20260109,41.2,41.98,39.48,39.74,74700
MSCI Inc,MSCI,20260109,581.4,585.265,578.25,581.16,228700
MS Emerging Markets Debt Fund,MSD,20260109,7.4,7.45,7.39,7.43,152800
MS Direct Lending Fund,MSDL,20260109,16.58,16.67,16.52,16.62,593800
Madison Square Garden Entmt Corp,MSGE,20260109,55.16,56.16,54.675,55.01,180900
Madison Square Garden Sports Corp,MSGS,20260109,263.76,267.28,263.175,265.35,137400
Motorola Solutions,MSI,20260109,381.02,384.53,379.06,383.14,1084900
Msc Income Fund Inc,MSIF,20260109,13.14,13.28,12.9,13.16,177200
Msc Industrial Direct Company,MSM,20260109,84.21,85.36,83.475,84.43,672400
,MSpA,20260109,19.73,19.8299,19.62,19.73,187632
,MSpE,20260109,25.57,25.58,25.48,25.48,33483
,MSpF,20260109,25.25,25.28,25.21,25.21,36594
,MSpI,20260109,25.06,25.08,25.04,25.06,68740
,MSpK,20260109,24.61,24.715,24.58,24.61,36596
,MSpL,20260109,20.57,20.61,20.49,20.605,22272
,MSpO,20260109,17.71,17.79,17.6,17.76,469482
,MSpP,20260109,25.5,25.53,25.44,25.5,45724
,MSpQ,20260109,26.35,26.35,26.26,26.31,33315
Arcelormittal ADR,MT,20260109,47.19,47.34,46.87,46.97,624900
M&T Bank Corp,MTB,20260109,213.55,214.7899,211.58,211.68,1148600
M&T Bank Corp Perpetual Rate,MTB-H,20260109,24.84,24.89,24.84,24.89,32300
M & T Bank Corp,MTB-J,20260109,26.65,26.6899,26.48,26.59,37500
M & T Bank Corp,MTB-K,20260109,25.45,25.5,25.37,25.4,79500
,MTBpH,20260109,24.845,24.89,24.84,24.89,28906
,MTBpJ,20260109,26.65,26.6899,26.48,26.53,30925
Mettler-Toledo International,MTD,20260109,1467.87,1500,1467.51,1485.12,142300
Matador Resources Company,MTDR,20260109,42.77,43.12,41.64,42.25,1921000
Mgic Investment Corp,MTG,20260109,29.1,29.39,29.005,29.01,1670900
Meritage Corp,MTH,20260109,69.91,75.71,69.875,75.45,2174000
Vail Resorts,MTN,20260109,137.85,139.32,136.3,137.79,772200
Mesa Royalty Trust,MTR,20260109,4.251,4.3,4.18,4.242,10100
Materion Corp,MTRN,20260109,137.13,138.12,134.8558,137.97,127400
Metallus Inc,MTUS,20260109,19.01,19.44,18.81,19.31,264900
Manitowoc Company,MTW,20260109,13.25,13.57,13.13,13.55,200900
Minerals Technologies Inc,MTX,20260109,65.19,66.67,65.03,66.25,115100
Mastec Inc,MTZ,20260109,221.715,226.31,218.445,218.91,818600
Blackrock Muniassets Fund,MUA,20260109,10.93,10.93,10.85,10.91,33000
Blackrock Muniholdings California Quality Fund,MUC,20260109,10.79,10.8599,10.68,10.85,463900
Blackrock Muniholdings Quality Fund II,MUE,20260109,10.05,10.1399,10.0492,10.1,42500
Mitsubishi Ufj Financial Group ADR,MUFG,20260109,16.9,17.14,16.705,17.09,6773200
Blackrock Muniholdings New Jersey Insured Fund,MUJ,20260109,12.08,12.13,12.03,12.1,65100
Murphy Oil Corp,MUR,20260109,32.93,33.33,32.2,32.56,2837100
Murphy USA Inc,MUSA,20260109,422.42,428.39,412.53,427.09,326100
Tcw Multisector Credit Income ETF,MUSE,20260109,50.281,50.281,50.281,50.281,100
Mcewen Inc,MUX,20260109,20.54,20.91,20.275,20.81,965400
Munivest Fund,MVF,20260109,6.99,7.03,6.99,7.03,134000
Mv Oil Trust,MVO,20260109,1.1,1.315,1.1,1.25,688600
Blackrock Munivest Fund II,MVT,20260109,10.79,10.79,10.7,10.724,26800
Mueller Water Products,MWA,20260109,25.21,25.34,24.96,25.24,888800
Magnachip Semiconductor Corp,MX,20260109,2.8,2.87,2.76,2.83,238700
Mexico Equity and,MXE,20260109,12.4,12.5802,12.32,12.38,5600
Mexico Fund,MXF,20260109,20.43,20.67,20.23,20.45,48900
Blackrock Muniyield Fund,MYD,20260109,10.55,10.6,10.5401,10.58,150500
Myers Industries,MYE,20260109,19.57,19.82,19.4,19.6,167500
Blackrock Muniyield Quality Fund III,MYI,20260109,10.95,10.97,10.93,10.96,143000
Blackrock Muniyield New York Quality Fund,MYN,20260109,10.04,10.06,9.99,10.05,46900
N-Able Inc,NABL,20260109,7.26,7.36,7.06,7.31,898600
Nuveen California Divadv Fund,NAC,20260109,11.97,12.03,11.96,12.01,667600
Nuveen Divadv Fund,NAD,20260109,12.14,12.18,12.09,12.18,794100
Nuveen New York Divadv Fund,NAN,20260109,11.31,11.37,11.2901,11.37,55000
Nordic American Tanker Shipping Ltd,NAT,20260109,3.88,3.93,3.8482,3.91,4191200
NCR Atleos Corporation,NATL,20260109,40.56,41.06,40.36,40.72,368300
Nuveen Arizona Premium Fund,NAZ,20260109,12.04,12.08,12.0302,12.06,13700
Nuveen Build America Bond Fund,NBB,20260109,15.97,16.09,15.92,16.02,36700
National Bank Holdings Corp,NBHC,20260109,40.42,40.4598,39.77,40.07,395200
Nabors Industries,NBR,20260109,65.01,65.68,62.29,63.41,378400
Neuberger Next Gen Connectivity Fund Inc,NBXG,20260109,14.66,14.7599,14.66,14.75,137900
Nacco Industries,NC,20260109,47.56,48.37,47.56,47.56,5100
Nuveen California Muni Value Fund,NCA,20260109,9.28,9.28,9.2,9.22,89100
Nuveen Churchill Direct Lending Corp,NCDL,20260109,13.62,13.62,13.45,13.53,223800
Norwegian Cruise Ord,NCLH,20260109,24.73,24.805,24.19,24.53,19388100
Virtus Convertible & Income Fund,NCV,20260109,15.71,15.81,15.6942,15.8,92800
Virtus Convertible & Income Fund 5.625% [Ncv/Pa],NCV-A,20260109,21.41,21.41,21.2612,21.38,7400
,NCVpA,20260109,21.41,21.41,21.2612,21.38,6073
Virtus Convertible & Income Fund II,NCZ,20260109,14.12,14.3,14.12,14.29,45600
Virtus Convertible & Income Fund II 5.50% [Ncz/P,NCZ-A,20260109,20.83,20.83,20.61,20.76,14900
,NCZpA,20260109,20.83,20.83,20.61,20.76,14455
Nuveen Dynamic Municipal Opportunities Fund Comm,NDMO,20260109,10.34,10.4,10.29,10.39,135400
Noble Corp Plc,NE,20260109,30.21,30.93,30.13,30.46,1248100
Noble Corporation WT 2 [Ne/Wa],NE.A,20260109,9.48,9.5,9.48,9.5,500
Noble Corporation WT 1 [Ne/W],NE.W,20260109,17.5,18,17.5,18,1200
,NE.WS,20260109,17.5,18,17.5,18,800
,NE.WS.A,20260109,9.48,9.5,9.48,9.5,403
Nuveen Insured Tax-Free Advantage Fund,NEA,20260109,11.75,11.77,11.71,11.73,1182300
Nextera Energy,NEE,20260109,80.2,80.92,79.87,79.89,5842200
Nextera Energy Capital Hlds Inc [Nee/Pn],NEE-N,20260109,23.9,24.03,23.77,23.91,41700
Nextera Energy Inc,NEE-S,20260109,51.94,51.94,51.34,51.34,374400
Nextera Energy Inc,NEE-T,20260109,48.5,48.89,48.27,48.6,228100
Nextera Energy Inc Sr U,NEE-U,20260109,25.26,25.28,25.18,25.26,55100
,NEEpN,20260109,23.9,24.03,23.77,23.93,35241
,NEEpS,20260109,51.94,51.94,51.34,51.34,7003
,NEEpT,20260109,48.5,48.89,48.27,48.6,8497
,NEEpU,20260109,25.26,25.28,25.18,25.26,49845
Newmont Mining Corp,NEM,20260109,107.43,109.09,106.27,108.99,7576400
Cloudflare Inc Cl A,NET,20260109,186.01,188.295,182.43,182.78,2683500
Newmarket Corp,NEU,20260109,716.68,728.315,712.3857,723.42,162000
Nexa Resources S.A.,NEXA,20260109,9.62,10.15,9.62,10.11,1024500
National Fuel Gas Company,NFG,20260109,78.38,79.03,78.135,78.37,589300
Virtus Dividend Interest & Premium Strategy Fund,NFJ,20260109,13.3,13.37,13.28,13.36,206700
National Grid Transco Plc ADR,NGG,20260109,79.45,80.32,79.4009,80.12,877900
Ngl Energy Partners LP,NGL,20260109,9.43,9.7718,9.43,9.65,232000
